value,time begin,time end,delay_
2,1753870840.966613,1753870842.6494863,1.682873249053955
3,1753870842.6494913,1753870843.8975341,1.2480428218841553
4,1753870843.8975396,1753870844.9690607,1.0715210437774658
5,1753870844.9690657,1753870846.0893111,1.1202454566955566
6,1753870846.0893166,1753870847.1621108,1.0727941989898682
